𱊜	𪈼
𫜑	麷
𫜊	𪉸
𫜅	䴋
𫜄	鷷
𫜃	鷣
𫜂	𪅂
𫜁	鷩
𫜀	鷐
𫛾	𪆷
𫛽	鷅
𫛼	䳫
𫛻	𪃒
𫛺	䳧
𫛹	𪃧
𫛸	鶗
𫛷	鶦
𫛶	鶒
𫛵	鶌
𫛴	鷤
𫛳	鵩
𫛲	鵰
𫛱	鵫
𫛰	䳢
𫛯	鶭
𫛮	䳤
𫛭	鵟
𫛬	䳜
𫛫	鶰
𫛪	鴽
𫛩	鴳
𫛨	鵧
𫛧	𪀖
𫛦	鴮
𫛥	鵊
𫛤	鴐
𫛣	鴥
𫛢	鸋
𫛡	鴔
𫛠	𩿤
𫛟	鸗
𫛞	鴃
𫛝	鴅
𫛜	鴀
𫛛	鳷
𫛚	鳽
𫚭	鱲
𫚬	𩼶
𫚫	鱢
𫚪	鱊
𫚩	𩻬
𫚨	𩻗
𫚧	鰽
𫚦	鰫
𫚥	鰕
𫚤	鰦
𫚣	鯾
𫚢	鰋
𫚡	鯞
𫚠	䱧
𫚟	𩸡
𫚞	鯬
𫚝	𩸄
𫚜	䲅
𫚛	鮵
𫚚	鮿
𫚙	鯆
𫚘	𩻮
𫚗	鮯
𫚖	鮆
𫚕	鰤
𫚔	鮰
𫚓	鮤
𫚒	鮄
𫚑	鮅
𫚐	䱀
𫚏	䱁
𫚎	𩶁
𫚍	魵
𫚌	魦
𫚋	鱄
𫚊	鰑
𫚉	魟
𫚈	鱮
𫙂	𩯁
𫘽	鬠
𫘱	驨
𫘰	驙
𫘯	驓
𫘮	䮰
𫘭	騻
𫘬	騱
𫘫	騴
𫘪	騵
𫘩	騜
𫘨	騠
𫘧	騄
𫘦	騊
𫘥	騉
𫘤	騃
𫘣	駻
𫘡	駫
𫘠	駤
𫘟	駊
𫘞	駞
𫘝	駃
𫘜	馼
𫘛	馯
𫗵	饟
𫗴	饘
𫗳	𩝽
𫗱	䭑
𫗰	䭔
𫗯	餱
𫗮	餭
𫗭	餵
𫗬	餪
𫗫	餬
𫗪	餧
𫗩	饠
𫗨	𩛡
𫗧	餗
𫗦	餔
𫗥	餫
𫗤	𩛌
𫗣	飶
𫗢	飵
𫗡	𩚩
𫗠	餦
𫗟	䬧
𫗞	飦
𫗚	𩟗
𫗋	飋
𫗊	䬓
𫗉	𩗴
𫗈	𩗓
𫗇	䫻
𫖺	䫶
𫖹	顣
𫖸	願
𫖷	𩔑
𫖶	顅
𫖵	𩓥
𫖴	𩔳
𫖳	頵
𫖲	䫟
𫖱	䫀
𫖰	䫂
𫖯	頫
𫖮	顗
𫖭	𩒎
𫖬	䪾
𫖫	䪴
𫖪	𩑔
𫖖	𩏠
𫖕	韝
𫖔	韛
𫖓	𩏂
𫖒	韠
𫖑	𩎖
𫖇	鞾
𫖅	䪊
𫖃	靧
𫕨	𩅙
𫕥	霣
𫕚	𩀨
𫔽	𨼳
𫔶	闑
𫔵	䦯
𫔴	閵
𫔲	𨴹
𫔰	閞
𫔯	閗
𫔮	閒
𫔭	開
𫔖	𨲳
𫔕	𨰥
𫔔	鑴
𫔓	𨯟
𫔒	𨮳
𫔑	𨭖
𫔐	𨭸
𫔏	𨬖
𫔎	鐍
𫔍	鐇
𫔌	鏾
𫔋	䥗
𫔊	鏥
𫔉	𨰃
𫔈	鎙
𫔇	鎞
𫔆	䥯
𫔅	鎍
𫔄	鍒
𫔃	𨰲
𫔂	鍉
𫔁	鐼
𫔀	鍊
𫓿	𨨢
𫓾	錥
𫓽	錝
𫓼	𨨛
𫓻	錜
𫓺	鐪
𫓹	錤
𫓸	錽
𫓷	𫒡
𫓶	鋗
𫓵	鋠
𫓴	鉾
𫓳	𨰋
𫓲	銁
𫓱	鐈
𫓰	銊
𫓯	銈
𫓮	𨪕
𫓭	鉠
𫓬	鉔
𫓫	𨥟
𫓪	鈆
𫓩	鏦
𫓨	鈛
𫓧	鈇
𫓦	釨
𫓥	釟
𫑷	醶
𫑡	鄳
𫑘	鄟
𫐷	遱
𫐙	轠
𫐘	轗
𫐗	轐
𫐖	轇
𫐕	轊
𫐔	𨍰
𫐓	輮
𫐒	輷
𫐑	輨
𫐐	輗
𫐏	輖
𫐎	輢
𫐍	𨌈
𫐌	軿
𫐋	𨎌
𫐊	軬
𫐉	軨
𫐈	軷
𫐇	軜
𫐆	轣
𫐅	軕
𫐄	軏
𫏨	𨇤
𫏞	𨇰
𫏕	𨆪
𫏑	𨇽
𫏐	蹔
𫏌	𨂐
𫏋	蹻
𫏆	蹳
𫏃	䠆
𫎺	䟃
𫎸	𧽯
𫎳	䟆
𫎱	䟐
𫎭	䞓
𫎬	贑
𫎫	贉
𫎪	䞋
𫎩	賝
𫎨	𧸘
𫎧	䝭
𫎦	贚
𫎌	貗
𫎆	豵
𫍿	譾
𫍾	𧭈
𫍽	譞
𫍼	𧬤
𫍻	譆
𫍺	𧫝
𫍹	謯
𫍸	謆
𫍷	謉
𫍶	𧩼
𫍵	謸
𫍴	謱
𫍳	諥
𫍲	謏
𫍱	諯
𫍰	諰
𫍯	諴
𫍮	誳
𫍭	𧩕
𫍬	誷
𫍫	䛳
𫍪	誋
𫍩	諣
𫍨	誫
𫍧	誺
𫍦	譨
𫍥	誂
𫍤	譑
𫍣	詷
𫍢	譊
𫍡	詑
𫍠	䛄
𫍟	𧦧
𫍞	𧦝
𫍝	諫
𫍜	詓
𫍛	訜
𫍚	訞
𫍙	訑
𫍐	𧭹
𫌯	䚩
𫌭	覹
𫌬	𧢄
𫌫	𧡴
𫌪	覛
𫌨	覼
𫌋	𧞫
𫌇	襵
𫌀	襀
𫋻	襘
𫋹	襓
𫋷	襗
𫋲	䙔
𫋌	蟘
𫋇	蟂
𫊻	蟳
𫊹	𧒯
𫊸	蟜
𫊮	蠦
𫊪	䗅
𫉄	藷
𫉁	薆
𫈵	蕝
𫈟	蔯
𫈎	葝
𫈉	蕳
𫇽	蕽
𫇴	蒭
𫇭	蔿
𫇪	𦱌
𫇛	艣
𫇘	𦧺
𫆫	𦡝
𫆝	𦟼
𫆏	聻
𫅼	𦔖
𫅭	䎙
𫅥	𦒀
𫅗	羵
𫅅	䍤
𫄹	纗
𫄸	纁
𫄷	繶
𫄶	繈
𫄵	𦅈
𫄴	繂
𫄳	縰
𫄲	縸
𫄱	繬
𫄰	縍
𫄯	𦃩
𫄮	䋼
𫄭	緮
𫄬	緤
𫄫	綟
𫄪	𦅇
𫄩	䋦
𫄨	絺
𫄧	綖
𫄦	𦀖
𫄥	纚
𫄤	繨
𫄣	繷
𫄢	絥
𫄡	絧
𫄠	絙
𫄟	絁
𫄞	䋔
𫄝	𥾯
𫄜	䋃
𫄛	紟
𫄚	䊺
𫄙	糺
𫃗	𩏷
𫂿	𥻦
𫂖	𥴨
𫂈	䉬
𫂆	簂
𫂃	簢
𫁺	𥴼
𫁷	䉶
𫁳	𥯤
𫁲	䉑
𫁱	𥶽
𫁡	鴗
𫁟	竱
𫁂	䆉
𫀮	𥢷
𫀬	䅳
𫀨	䅐
𫀓	𥜐
𫀌	𥜰
𪿵	𥗇
𪿫	礮
𪿞	𥖲
𪿊	𥏝
𪾸	矉
𪾦	矑
𪾣	眝
𪾢	睍
𪾔	盨
𪽷	瘱
𪽴	𤺔
𪽮	㿖
𪽭	𤷃
𪽪	痮
𪽝	𤳷
𪽈	畼
𪼴	𤬅
𪼋	㻶
𪻺	璝
𪻲	瑻
𪻨	瓄
𪻐	瑽
𪺽	猌
𪺻	㺜
𪺸	𤠮
𪺷	獊
𪺭	犞
𪺪	𤜆
𪺣	𤘀
𪹹	𤒻
𪹳	爥
𪹠	𤓌
𪹀	𤑹
𪸩	煇
𪸕	熂
𪷽	灒
𪷍	㵾
𪶮	𣽏
𪶒	𤄷
𪶄	溡
𪵱	濿
𪵣	霼
𪵑	毊
𪴙	欑
𪳗	𣜬
𪳍	欇
𪲮	櫠
𪲛	檵
𪲔	欐
𪲎	櫅
𪱷	梖
𪱥	膹
𪰶	曊
𪯋	㪎
𪮶	攋
𪮳	𢺳
𪮖	撧
𪮋	㩋
𪮃	㨻
𪭾	撊
𪭵	掚
𪭯	𢶒
𪭧	擟
𪭢	摐
𪭝	𢯷
𪬯	𢤿
𪬚	𢣐
𪫺	憸
𪫷	㦞
𪫡	𢤩
𪫌	徿
𪪼	彃
𪪴	𢍰
𪪞	廧
𪪑	㢗
𪪏	廬
𪩸	幩
𪩷	幝
𪩛	𡿖
𪩘	巘
𪩎	巊
𪩇	㟺
𪨹	𡹬
𪨷	巗
𪨶	輋
𪨩	𡸗
𪨧	崙
𪨗	屩
𪨊	㞞
𪧘	寠
𪧀	孾
𪥿	嬻
𪥰	嬣
𪥫	孇
𪥠	𧹈
𪤚	壣
𪤄	𡓁
𪣻	塿
𪣒	堚
𪣆	埬
𪢸	墲
𪢮	圞
𪢠	囒
𪢖	𡅯
𪢕	嚽
𪢒	𡂡
𪢐	𡃤
𪢌	㘓
𪡺	𡃄
𪡞	嘳
𪡛	㗿
𪡏	嗹
𪡋	噞
𪡃	嘪
𪡀	嘺
𪠽	噹
𪠺	𠽃
𪠸	嚛
𪠵	㖮
𪠳	唓
𪠡	𠬙
𪠟	㓄
𪠀	𧷎
𪟝	勣
𪟎	㔋
𪞝	凙
𪜎	𠿕
𪚐	𪘯
𪚏	𪘀
𪔭	𪔵
𪑅	䵳
𪎌	麳
𪎋	䴴
𪎊	麨
𪎉	麲
𪎈	䴬
𪉕	𪇳
𪉔	𪄆
𪉒	𪄕
𪉑	鷔
𪉐	𪃍
𪉏	𪃏
𪉎	𪂆
𪉍	鵚
𪉌	𪁖
𪉋	𪀾
𪉊	鷨
𪉉	𪁈
𪉈	鴜
𪉆	鴲
𪉅	𪀦
𪉄	𩿪
𪉃	鳼
𪉂	䲰
𩾎	𩽇
𩾌	鱇
𩾋	䱰
𩾊	䱬
𩾈	䱙
𩾇	鯱
𩾆	𩸦
𩾅	𩸃
𩾄	𩷰
𩾃	鮸
𩾂	䲖
𩾁	鯄
𩽿	𩶰
𩽾	鮟
𩽽	𩶱
𩽼	鯶
𩽻	𩵹
𩽺	𩵩
𩽹	魥
𩴌	𩴵
𩲒	𩳤
𩰰	𩰹
𩯒	𩯳
𩭹	鬖
𩬤	𩰀
𩬣	𩭙
𩩈	䯤
𩨐	𩧆
𩨏	䮳
𩨎	龭
𩨍	𩥇
𩨌	𩥑
𩨋	𩥄
𩨊	騚
𩨉	𩤲
𩨈	騟
𩨇	䮫
𩨆	𩤙
𩨅	𩤸
𩨄	騪
𩨃	騝
𩨂	驄
𩨁	䮞
𩨀	騔
𩧿	䮠
𩧼	𩣺
𩧻	𩣵
𩧺	駶
𩧸	𩣫
𩧶	𩣏
𩧵	𩢴
𩧴	駩
𩧳	𩢸
𩧲	駧
𩧱	𩥉
𩧰	䮝
𩧯	驋
𩧮	𩢾
𩧭	䭿
𩧬	𩢡
𩧫	駚
𩧪	䮾
𩧩	𩤊
𩧨	駎
𩧦	𩡺
𩡖	𩡣
𩠠	𩠴
𩠏	𩞦
𩠎	𩞄
𩠌	餸
𩠋	𩝔
𩠊	𩜵
𩠉	𩜇
𩠈	䭃
𩠇	䭀
𩠆	𩜦
𩠅	𩟐
𩠃	𩛩
𩠂	𩛆
𩠁	𩚵
𩠀	𩚥
𩟿	𩚛
𩙰	𩙈
𩙯	䬝
𩙮	䬘
𩙭	𩘝
𩙬	𩘺
𩙫	颾
𩙪	颷
𩙩	𩘀
𩙨	𩘹
𩙧	䬞
𩙦	𩗀
𩙥	颰
𩖗	䫴
𩖖	顃
𩖕	𩓣
𩓋	顂
𩐀	䪗
𩏿	䪘
𩏾	𩎢
𩏽	𩏪
𩏼	䪏
𨸟	䧢
𨸘	𨽏
𨸎	𨷲
𨸌	𨶮
𨸋	𨶲
𨸊	𨶏
𨸉	𨶀
𨸇	𨵸
𨸆	𨵩
𨸅	𨴗
𨸄	䦘
𨸃	閐
𨸂	閍
𨸁	𨳑
𨸀	𨳕
𨷿	䦳
𨱖	䥩
𨱕	𨮂
𨱔	鐏
𨱓	鐎
𨱒	鏉
𨱑	鐄
𨱐	𨫒
𨱏	鎝
𨱎	鍮
𨱍	鎯
𨱌	鏆
𨱋	錂
𨱊	𨧱
𨱉	鍄
𨱈	鋉
𨱇	銶
𨱆	龯
𨱅	鉁
𨱄	鈯
𨱃	鈲
𨱂	鈋
𨱁	鈠
𨱀	𨥛
𨰿	釳
𨰾	鎷
𨤰	𨤻
𨡺	𨣈
𨡙	𨢿
𨠨	𨣧
𨟳	𨣞
𨑹	䢨
𨐊	𨏥
𨐉	𨎮
𨐈	輄
𨐇	𨏠
𨐆	𨊻
𨐅	軗
𨉗	軉
𨅬	躝
𨅫	𨇞
𨅛	䠱
𨄄	𨈌
𨂺	𨈊
𨁴	𨅍
𨀱	𨄣
𨀁	躘
𧿈	𨇁
𧹗	贃
𧹖	賟
𧹕	䝻
𧹔	賬
𧹓	𧶔
𧹒	買
𧹑	䞈
𧳕	𧳟
𧮪	詀
𧝧	𧟀
𧝝	襰
𧜭	䙱
𧒭	𧔥
𧑏	蠾
𧏗	蠀
𧏖	蠙
𧌥	𧎈
𧉞	䗿
𧉐	𧕟
𦻕	蘟
𦶻	𦾟
𦶟	爇
𦰴	䕳
𦰏	蓧
𦨩	𦪽
𦟗	𦣎
𦝼	膢
𦛨	朥
𦍠	䍽
𦈡	繻
𦈠	䌥
𦈟	䌝
𦈞	䌟
𦈝	繏
𦈜	䌖
𦈛	繓
𦈚	縬
𦈙	䌰
𦈘	䌋
𦈗	𦃄
𦈖	䌈
𦈕	緰
𦈔	縎
𦈓	䋿
𦈒	𦂅
𦈑	緸
𦈐	縺
𦈏	緍
𦈎	繟
𦈌	綀
𦈋	綇
𦈉	緷
𦈈	𥿊
𥺇	𥽖
𥺅	䊭
𥹥	𥼽
𥱔	𥵃
𥮾	篸
𥮜	䉲
𥮋	𥸠
𥭉	𥵊
𥬠	篘
𥬞	籋
𥬀	䉙
𥫣	籅
𥩺	𥪂
𥩟	竚
𥧂	𥨐
𥞦	𥞵
𥐻	碙
𥐰	𥕥
𥐯	𥖅
𥐟	礒
𥎝	䂎
𥇢	䁪
𥆧	瞤
𥅿	𥊝
𥅴	䀹
𥅘	𥌃
𥁢	䀉
𤿲	麬
𤾀	皟
𤽯	㿧
𤻊	㿗
𤶧	𤸫
𤶊	癐
𤳄	𤳸
𤩽	瓛
𤦀	瓕
𤠋	㺏
𤞤	玁
𤞃	獩
𤝢	𤢟
𤙯	𤛮
𤎻	𤑳
𤎺	𤓎
𤋏	熡
𤊰	𤓩
𤊀	𤒎
𤈷	㷿
𤈶	熉
𤇹	熚
𤇭	爖
𤇄	熌
𤇃	爄
𤆢	㷍
𤆡	熓
𣽷	瀃
𣺽	𤁣
𣺼	灙
𣸣	濆
𣷷	𤅶
𣶭	𪷓
𣶫	𣿉
𣶩	澅
𣳆	㵗
𣲘	潕
𣲗	湋
𣱝	氭
𣯣	𣯩
𣭤	𣯴
𣨼	殢
𣞎	𣠩
𣚚	欘
𣘷	𣝕
𣘴	檭
𣘓	𣞻
𣘐	㯤
𣗙	㰙
𣗋	欓
𣗊	樠
𣔌	樤
𣓿	橯
𣒌	楇
𣑶	𣠲
𣐤	欍
𣐕	桱
𣏢	槫
𣎑	臗
𣍰	脥
𣍯	腪
𣍨	𦢈
𣈣	𣋋
𣆐	曥
𣃁	斸
𢽾	斅
𢭏	擣
𢬦	𢹿
𢬍	擫
𢫬	摋
𢫞	𢶫
𢫊	𢷮
𢧐	戰
𢢐	𤢻
𢠁	懎
𢛯	㦎
𢙓	懀
𢙒	憢
𢙑	𢠼
𢙐	憹
𢙏	愻
𢘞	𢣭
𢘝	𢣚
𢘙	𢤱
𢗓	㦛
𢋈	㢝
𡺄	嶘
𡺃	嶈
𡸃	𡽗
𡶴	嵼
𡳒	𦘧
𡳃	𡳳
𡭬	𡮣
𡭜	𡮉
𡥧	孻
𡠟	孎
𡞱	㜢
𡞋	㜗
𡝠	㜷
𡒄	壈
𡍣	𡔖
𡋤	壗
𡋗	𡑭
𡋀	𡓾
𠵾	㗲
𠵸	𡄣
𠴢	𡄔
𠴛	𡃕
𠲥	𡅏
𠱞	囃
𠰷	嚧
𠰱	㘉
𠯠	噅
𠯟	哯
𠮶	嗰
𠡠	勑
𠛾	𪟖
𠛆	𠞆
𠛅	剾
𠚳	𠠎
𠋆	儭
𠉗	𠏢
𠉂	㒓
𠇹	俓
𠆿	𠌥
𠆲	儣
𠀾	𠁞
鿔	鎶
鿒	鿓
鿏	䥑
鿎	䃮
龟	龜
龛	龕
龚	龔
龙	龍
龌	齷
龋	齲
龊	齪
龉	齬
龈	齦
龇	齜
龆	齠
龅	齙
龄	齡
龃	齟
龂	齗
龁	齕
龀	齔
齿	齒
齑	齏
齐	齊
鼹	鼴
鼍	鼉
鼌	鼂
鼋	黿
黾	黽
黪	黲
黩	黷
黡	黶
黉	黌
黄	黃
麽	麼
麺	麪
麹	麴
麸	麩
麦	麥
鹾	鹺
鹴	鸘
鹳	鸛
鹲	鸏
鹱	鸌
鹰	鷹
鹯	鸇
鹮	䴉
鹭	鷺
鹬	鷸
鹫	鷲
鹪	鷦
鹩	鷯
鹨	鷚
鹧	鷓
鹦	鸚
鹥	鷖
鹤	鶴
鹣	鶼
鹢	鷁
鹡	鶺
鹠	鶹
鹟	鶲
鹞	鷂
鹝	鷊
鹜	鶩
鹛	鶥
鹚	鷀
鹙	鶖
鹘	鶻
鹗	鶚
鹖	鶡
鹕	鶘
鹔	鷫
鹓	鵷
鹒	鶊
鹑	鶉
鹐	鵮
鹏	鵬
鹎	鵯
鹍	鵾
鹌	鵪
鹋	鶓
鹊	鵲
鹉	鵡
鹈	鵜
鹇	鷳
鹆	鵒
鹅	鵝
鹄	鵠
鹃	鵑
鹂	鸝
鹁	鵓
鹀	鵐
鸿	鴻
鸾	鸞
鸽	鴿
鸼	鵃
鸻	鴴
鸺	鵂
鸹	鴰
鸸	鴯
鸷	鷙
鸶	鷥
鸵	鴕
鸴	鷽
鸳	鴛
鸲	鴝
鸱	鴟
鸰	鴒
鸯	鴦
鸮	鴞
鸭	鴨
鸬	鸕
鸫	鶇
鸪	鴣
鸩	鴆
鸨	鴇
鸧	鶬
鸦	鴉
鸥	鷗
鸤	鳲
鸣	鳴
鸢	鳶
鸡	雞
鸠	鳩
鸟	鳥
鳤	䲘
鳣	鱣
鳢	鱧
鳡	鱤
鳠	鱯
鳟	鱒
鳞	鱗
鳝	鱔
鳜	鱖
鳛	鰼
鳚	䲁
鳙	鱅
鳘	鰵
鳗	鰻
鳖	鱉
鳕	鱈
鳔	鰾
鳓	鰳
鳒	鰜
鳑	鰟
鳐	鰩
鳏	鰥
鳎	鰨
鳍	鰭
鳌	鰲
鳋	鰠
鳊	鯿
鳉	鱂
鳈	鰁
鳇	鰉
鳆	鰒
鳅	鰍
鳄	鱷
鳃	鰓
鳂	鰃
鳁	鰮
鳀	鯷
鲿	鱨
鲾	鰏
鲽	鰈
鲼	鱝
鲻	鯔
鲺	鯴
鲹	鰺
鲸	鯨
鲷	鯛
鲶	鯰
鲵	鯢
鲴	鯝
鲳	鯧
鲲	鯤
鲱	鯡
鲰	鯫
鲯	鯕
鲮	鯪
鲭	鯖
鲬	鯒
鲫	鯽
鲪	鮶
鲩	鯇
鲨	鯊
鲧	鯀
鲦	鰷
鲥	鰣
鲤	鯉
鲣	鰹
鲢	鰱
鲡	鱺
鲠	鯁
鲟	鱘
鲞	鯗
鲝	鮺
鲜	鮮
鲛	鮫
鲚	鱭
鲙	鱠
鲘	鮜
鲗	鰂
鲖	鮦
鲕	鮞
鲔	鮪
鲓	鮳
鲒	鮚
鲑	鮭
鲐	鮐
鲏	鮍
鲎	鱟
鲍	鮑
鲌	鮊
鲋	鮒
鲊	鮓
鲉	鮋
鲈	鱸
鲇	鮎
鲆	鮃
鲅	鮁
鲄	魺
鲃	䰾
鲂	魴
鲁	魯
鲀	魨
鱿	魷
鱾	魢
鱽	魛
鱼	魚
魉	魎
魇	魘
鬶	鬹
鬓	鬢
髌	髕
髋	髖
髅	髏
骧	驤
骦	驦
骥	驥
骤	驟
骣	驏
骢	驄
骡	騾
骠	驃
骟	騸
骞	騫
骝	騮
骜	驁
骛	騖
骚	騷
骙	騤
骘	騭
骗	騙
骖	驂
骕	驌
骔	騌
骓	騅
骒	騍
骑	騎
骐	騏
骏	駿
骎	駸
骍	騂
验	驗
骋	騁
骊	驪
骉	驫
骈	駢
骇	駭
骆	駱
骅	驊
骄	驕
骃	駰
骂	罵
骁	驍
骀	駘
驿	驛
驾	駕
驽	駑
驼	駝
驻	駐
驺	騶
驹	駒
驸	駙
驷	駟
驶	駛
驵	駔
驴	驢
驳	駁
驲	馹
驱	驅
驰	馳
驯	馴
驮	馱
驭	馭
马	馬
馕	饢
馔	饌
馓	饊
馒	饅
馑	饉
馐	饈
馏	餾
馎	餺
馍	饃
馌	饁
馋	饞
馊	餿
馉	餶
馈	饋
馇	餷
馆	館
馅	餡
馄	餛
馃	餜
馂	餕
馁	餒
馀	餘
饿	餓
饾	餖
饽	餑
饼	餅
饻	餏
饺	餃
饹	餎
饸	餄
饷	餉
饶	饒
饵	餌
饴	飴
饳	飿
饲	飼
饱	飽
饰	飾
饯	餞
饮	飲
饭	飯
饬	飭
饫	飫
饪	飪
饩	餼
饨	飩
饧	餳
饦	飥
饥	飢
饤	飣
饣	飠
餍	饜
飨	饗
飞	飛
飚	飈
飙	飆
飘	飄
飗	飀
飖	颻
飕	颼
飔	颸
飓	颶
飒	颯
飑	颮
飐	颭
飏	颺
风	風
颧	顴
颦	顰
颥	顬
颤	顫
颣	纇
颢	顥
颡	顙
颠	顛
颟	顢
颞	顳
额	額
颜	顏
颛	顓
颚	顎
颙	顒
题	題
颗	顆
颖	穎
颕	頴
颔	頷
颓	頹
颒	頮
频	頻
颐	頤
颏	頦
颎	熲
颍	潁
颌	頜
颋	頲
颊	頰
颉	頡
颈	頸
颇	頗
领	領
颅	顱
预	預
颃	頏
颂	頌
颁	頒
颀	頎
顿	頓
顾	顧
顽	頑
顼	頊
须	須
顺	順
项	項
顸	頇
顷	頃
顶	頂
页	頁
韵	韻
韬	韜
韫	韞
韪	韙
韩	韓
韨	韍
韧	韌
韦	韋
鞲	韝
鞯	韉
鞒	鞽
鞑	韃
靥	靨
面	面
静	靜
靔	靝
靓	靚
霭	靄
霡	霢
霉	黴
霁	霽
雾	霧
雳	靂
雠	讎
雕	雕
雏	雛
雇	僱
难	難
隽	雋
隶	隸
隐	隱
随	隨
险	險
陨	隕
陧	隉
陦	隯
陕	陝
陉	陘
陈	陳
陇	隴
陆	陸
际	際
阶	階
阵	陣
阴	陰
阳	陽
队	隊
阛	闤
阚	闞
阙	闕
阘	闒
阗	闐
阖	闔
阕	闋
阔	闊
阓	闠
阒	闃
阑	闌
阐	闡
阏	閼
阎	閻
阍	閽
阌	閿
阋	鬩
阊	閶
阉	閹
阈	閾
阇	闍
阆	閬
阅	閱
阄	鬮
阃	閫
阂	閡
阁	閣
阀	閥
闿	闓
闾	閭
闽	閩
闼	闥
闻	聞
闺	閨
闹	鬧
闸	閘
闷	悶
闶	閌
闵	閔
间	間
闳	閎
闲	閒
闱	闈
闰	閏
闯	闖
问	問
闭	閉
闬	閈
闫	閆
闪	閃
闩	閂
门	門
长	長
镶	鑲
镵	鑱
镴	鑞
镳	鑣
镲	鑔
镱	鐿
镰	鐮
镯	鐲
镮	鐶
镭	鐳
镬	鑊
镫	鐙
镪	鏹
镩	鑹
镨	鐠
镧	鑭
镦	鐓
镥	鑥
镤	鏷
镣	鐐
镢	钁
镡	鐔
镠	鏐
镟	鏇
镞	鏃
镝	鏑
镜	鏡
镛	鏞
镚	鏰
镙	鏍
镘	鏝
镗	鏜
镖	鏢
镕	鎔
镔	鑌
镓	鎵
镒	鎰
镑	鎊
镐	鎬
镏	鎦
镎	鎿
镍	鎳
镌	鐫
镋	钂
镊	鑷
镉	鎘
镈	鎛
镇	鎮
镆	鏌
镅	鎇
镄	鐨
镃	鎡
镂	鏤
镁	鎂
镀	鍍
锿	鎄
锾	鍰
