成功的男人后面必有一个奉献的女人	成功的男人後面必有一個奉獻的女人
单端孢霉烯类毒素中毒症	單端孢黴烯類毒素中毒症
北京汽车制造厂有限公司	北京汽車製造廠有限公司
前郭尔罗斯蒙古族自治县	前郭爾羅斯蒙古族自治縣
农村家庭联产承包责任制	農村家庭聯產承包責任制
克孜勒苏柯尔克孜自治州	克孜勒蘇柯爾克孜自治州
借米下得锅讨米下不得锅	借米下得鍋討米下不得鍋
鼓不打不响钟不撞不鸣	鼓不打不響鐘不撞不鳴
黔南布依族苗族自治州	黔南布依族苗族自治州
鲋鱼困涸辙难待西江水	鮒魚困涸轍難待西江水
马来亚玻里尼西亚语系	馬來亞玻里尼西亞語系
风在那里起雨在那里落	風在那裡起雨在那裡落
阿克塞哈萨克族自治县	阿克塞哈薩克族自治縣
闭门家里坐祸从天上来	閉門家裡坐禍從天上來
长他人志气灭自己威风	長他人志氣滅自己威風
镇宁布依族苗族自治县	鎮寧布依族苗族自治縣
谁笑在最后谁笑得最好	誰笑在最後誰笑得最好
谁笑到最后谁笑得最好	誰笑到最後誰笑得最好
蠹众而木折隙大而墙坏	蠹眾而木折隙大而牆壞
蝨多了不咬债多了不愁	蝨多了不咬債多了不愁
蚊子遭扇打只为嘴伤人	蚊子遭扇打只為嘴傷人
蒙一饭之恩尚杀身以报	蒙一飯之恩尚殺身以報
莫信直中直须防人不仁	莫信直中直須防人不仁
药医不死病佛度有缘人	藥醫不死病佛度有緣人
花无百日开人无千日好	花無百日開人無千日好
良田万顷不如薄艺随身	良田萬頃不如薄藝隨身
耶稣基督后期圣徒教会	耶穌基督後期聖徒教會
紫云苗族布依族自治县	紫云苗族布依族自治縣
科学技术是第一生产力	科學技術是第一生產力
秀才不出门能知天下事	秀才不出門能知天下事
福无重受日祸有并来时	福無重受日禍有並來時
礼轻人意重千里送鹅毛	禮輕人意重千里送鵝毛
相交满天下知心能几人	相交滿天下知心能幾人
盐打怎么咸醋打怎么酸	鹽打怎麼鹹醋打怎麼酸
皇家加勒比海游轮公司	皇家加勒比海遊輪公司
白刀子进去红刀子出来	白刀子進去紅刀子出來
牡丹虽好终须绿叶扶持	牡丹雖好終須綠葉扶持
牡丹虽好全凭绿叶扶持	牡丹雖好全憑綠葉扶持
牡丹虽好全仗绿叶扶持	牡丹雖好全仗綠葉扶持
爱之欲其生恶之欲其死	愛之欲其生惡之欲其死
熟读王叔和不如临症多	熟讀王叔和不如臨症多
满怀心腹事尽在不言中	滿懷心腹事盡在不言中
清酒红人面财帛动人心	清酒紅人面財帛動人心
海西蒙古族藏族自治州	海西蒙古族藏族自治州
泰极还生否乐处又逢悲	泰極還生否樂處又逢悲
水里水里来火里火里去	水裡水裡來火裡火裡去
死知府不如一个活老鼠	死知府不如一個活老鼠
死有重于泰山轻于鸿毛	死有重於泰山輕於鴻毛
正确处理人民内部矛盾	正確處理人民內部矛盾
正电子发射计算机断层	正電子發射計算機斷層
正电子发射断层照相术	正電子發射斷層照相術
梁园虽好不是久恋之家	梁園雖好不是久戀之家
杜尔伯特蒙古族自治县	杜爾伯特蒙古族自治縣
杀人须见血救人须救彻	殺人須見血救人須救徹
智慧型车辆暨公路系统	智慧型車輛暨公路系統
普列谢茨克卫星发射场	普列謝茨克衛星發射場
晚娘的拳头云里的日头	晚娘的拳頭雲裡的日頭
明鎗容易躲暗箭最难防	明鎗容易躲暗箭最難防
明鎗容易躲暗剑最难防	明鎗容易躲暗劍最難防
明知山有虎故作采樵人	明知山有虎故作採樵人
明知山有虎偏向虎山行	明知山有虎偏向虎山行
明潭抽蓄水力发电工程	明潭抽蓄水力發電工程
明是一盆火暗是一把刀	明是一盆火暗是一把刀
新娘进了房媒人扔过墙	新娘進了房媒人扔過牆
救人一命胜造七级浮屠	救人一命勝造七級浮屠
拜科努尔航天发射基地	拜科努爾航天發射基地
我们死后将会洪水滔天	我們死後將會洪水滔天
怒从心上起恶向胆边生	怒從心上起惡向膽邊生
得黄金百不如得季布诺	得黃金百不如得季布諾
平定准噶尔回部得胜图	平定準噶爾回部得勝圖
导弹武器技术控制制度	導彈武器技術控制制度
好时是他人恶时是家人	好時是他人惡時是家人
天无三日晴地无三里平	天無三日晴地無三里平
天下无难事只怕有心人	天下無難事只怕有心人
大缸里翻油沿路拾芝麻	大缸裡翻油沿路拾芝麻
大目干连冥间救母变文	大目乾連冥間救母變文
在家靠父母出外靠朋友	在家靠父母出外靠朋友
在家千日好出门一时难	在家千日好出門一時難
圣文森特和格林纳丁斯	聖文森及格瑞那丁
国民常用字标准字体表	國民常用字標準字型表
国家标准化管理委员会	國家標準化管理委員會
国家发展和改革委员会	國家發展和改革委員會
国务院台湾事务办公室	國務院臺灣事務辦公室
围场满族蒙古族自治县	圍場滿族蒙古族自治縣
和布克赛尔蒙古自治县	和布克賽爾蒙古自治縣
君子坦荡荡小人长戚戚	君子坦蕩蕩小人長慼慼
同一个世界同一个梦想	同一個世界同一個夢想
各人儿洗面儿各人儿光	各人兒洗面兒各人兒光
吃人一个蛋恩情无法断	吃人一個蛋恩情無法斷
台湾证券集中保管公司	臺灣證券集中保管公司
台湾省政府林业试验所	臺灣省政府林業試驗所
只有出的气没有进的气	只有出的氣沒有進的氣
千羊之皮不如一狐之腋	千羊之皮不如一狐之腋
前人撒土迷了后人的眼	前人撒土迷了後人的眼
冠状动脉旁路移植手术	冠狀動脈旁路移植手術
关岭布依族苗族自治县	關嶺布依族苗族自治縣
全球环境变迁资讯系统	全球環境變遷資訊系統
全球定位系统卫星测量	全球定位系統衛星測量
全国教育资讯服务系统	全國教育資訊服務系統
全世界无产者联合起来	全世界無產者聯合起來
光纤通讯干道网路系统	光纖通訊幹道網路系統
儿不嫌母丑犬不怨主贫	兒不嫌母醜犬不怨主貧
世情看冷暖人面逐高低	世情看冷暖人面逐高低
世上无难事只怕有心人	世上無難事只怕有心人
与君一席话胜读十年书	與君一席話勝讀十年書
黄鹰抓住了鹞子的脚	黃鷹抓住了鷂子的腳
食品药品监督管理局	食品藥品監督管理局
阿里巴巴与四十大盗	阿里巴巴與四十大盜
通用汉字标准交换码	通用漢字標準交換碼
达尔罕茂明安联合旗	達爾罕茂明安聯合旗
躲过了风暴又遇了雨	躲過了風暴又遇了雨
踏小板凳儿糊险道神	踏小板凳兒糊險道神
跑得了和尚跑不了庙	跑得了和尚跑不了廟
要怎么收获先怎么栽	要怎麼收穫先怎麼栽
行万里路胜读万卷书	行萬裡路勝讀萬捲書
蜂巢式行动电话系统	蜂巢式行動電話系統
菲利克斯．米达麦亚	菲利克斯．米達麥亞
莫霍洛维奇不连续面	莫霍洛維奇不連續面
莫三比克人民共和国	莫三比克人民共和國
苏黎世联邦理工学院	蘇黎世聯邦理工學院
船不漏针漏针没外人	船不漏針漏針沒外人
肐膊折了往袖子里藏	肐膊折了往袖子裡藏
美国资讯交换标准码	美國資訊交換標準碼
经济合作与发展组织	經濟合作與發展組織
电脑与电话系统整合	電腦與電話系統整合
王子犯法与庶民同罪	王子犯法與庶民同罪
牡丹虽好全仗绿叶扶	牡丹雖好全仗綠葉扶
漏电保护接地极插座	漏電保護接地極插座
温布尔登网球公开赛	溫布林登網球公開賽
液体燃料火箭发动机	液體燃料火箭發動機
泰特斯安德洛尼克斯	泰特斯安德洛尼克斯
波斯尼亚黑塞哥维那	波士尼亞赫塞哥維納
法兰克福证券交易所	法蘭克福證券交易所
没家亲引不出外鬼来	沒家親引不出外鬼來
氨基甲酸酯类化合物	氨基甲酸酯類化合物
民用航空器适航证书	民用航空器適航證書
民和回族土族自治县	民和回族土族自治縣
欲善其事必先利其器	慾善其事必先利其器
欧洲安全和合作组织	歐洲安全和合作組織
欧洲安全与合作组织	歐洲安全與合作組織
棺材出了讨挽歌郎钱	棺材出了討挽歌郎錢
是罐子也有两个耳朵	是罐子也有兩個耳朵
数据链路连接识别码	資料鏈路連線識別碼
携带式卫星通信系统	攜帶式衛星通訊系統
打翻了的牛奶而哭泣	打翻了的牛奶而哭泣
德意志学术交流中心	德意志學術交流中心
得克萨斯州沃思堡电	得克薩斯州沃思堡電
巴里坤哈萨克自治县	巴里坤哈薩克自治縣
头上打一下脚底板响	頭上打一下腳底板響
大通回族土族自治县	大通回族土族自治縣
大湄公河次区域合作	大湄公河次區域合作
塞尔维亚克罗地亚语	塞爾維亞克羅埃西亞語
坦尚尼亚联合共和国	坦尚尼亞聯合共和國
图书餐饮复合式餐厅	圖書餐飲複合式餐廳
国际奥林匹克委员会	國際奧林匹克委員會
国语注音符号第二式	國語注音符號第二式
国语注音符号第一式	國語注音符號第一式
国家标准中文交换码	國家標準中文交換碼
国家文物鉴定委员会	國家文物鑑定委員會
国家发展计划委员会	國家發展計劃委員會
后天免疫缺乏症候群	後天免疫缺乏症候群
台湾大学附属医学院	臺灣大學附屬醫學院
发行量加权股价指数	發行量加權股價指數
博尔塔拉蒙古自治州	博爾塔拉蒙古自治州
千镒之裘非一狐之白	千鎰之裘非一狐之白
千算万算不值天一划	千算萬算不值天一劃
别人肉帖不在腮颊上	別人肉帖不在腮頰上
全面禁止核试验条约	全面禁止核試驗條約
光纤分散式资料介面	光纖分散式資料介面
光纤分布式数据介面	光纖分散式資料介面
做一天和尚撞一天钟	做一天和尚撞一天鐘
乔修亚．吉尔菲艾斯	喬修亞．吉爾菲艾斯
两只脚赶不上一张嘴	兩隻腳趕不上一張嘴
丑媳妇总得要见公婆	醜媳婦總得要見公婆
三日不读书面目可憎	三日不讀書面目可憎
一龙生九种种种各别	一龍生九種種種各別
麾之即去招则须来	麾之即去招則須來
麻雀虽小五脏俱全	麻雀雖小五臟俱全
饥不可食寒不可衣	飢不可食寒不可衣
食物及药品管理局	食物及藥品管理局
风险与收益的关系	風險與收益的關係
顺德者吉逆天者凶	順德者吉逆天者凶
项庄舞剑志在沛公	項莊舞劍志在沛公
鞠躬尽瘁死而后已	鞠躬盡瘁死而後已
面心立方最密堆积	面心立方最密堆積
靡不有初鲜克有终	靡不有初鮮克有終
青出于蓝而胜于蓝	青出於藍而勝於藍
阿拉伯联合酋长国	阿拉伯聯合大公國
阿拉伯联合大公国	阿拉伯聯合大公國
阿尔汉格尔斯克州	阿爾漢格爾斯克州
阴离子界面活性剂	陰離子介面活性劑
防民之口甚于防川	防民之口甚於防川
防人之口甚于防川	防人之口甚於防川
阜新蒙古族自治县	阜新蒙古族自治縣
阎王好见小鬼难当	閻王好見小鬼難當
销售时点情报系统	銷售時點情報系統
铜山西崩洛钟东应	銅山西崩洛鐘東應
金属氧化物半导体	金氧半導體
金乌西坠玉兔东升	金烏西墜玉兔東昇
释迦佛也恼下莲台	釋迦佛也惱下蓮臺
邮政储金转存制度	郵政儲金轉存制度
道格拉斯麦克阿瑟	道格拉斯麥克阿瑟
远距图书服务系统	遠距圖書服務系統
远处夸称近方卖弄	遠處誇稱近方賣弄
近朱者赤近墨者黑	近朱者赤近墨者黑
近乎同步数位阶层	近乎同步數位階層
运用之妙在于一心	運用之妙在於一心
躲了雷公遇了霹雳	躲了雷公遇了霹靂
躲一棒槌挨一榔头	躲一棒槌挨一榔頭
跑了和尚跑不了庙	跑了和尚跑不了廟
跑了和尚跑不了寺	跑了和尚跑不了寺
走了和尚走不了庙	走了和尚走不了廟
赤道几內亚共和国	赤道幾內亞共和國
谷贵饿农谷贱伤农	穀貴餓農穀賤傷農
读万卷书行万里路	讀萬卷書行萬里路
见钟不打更去炼铜	見鐘不打更去煉銅
见物不取失之千里	見物不取失之千里
见之不取思之千里	見之不取思之千里
裘馨氏肌肉萎缩症	裘馨氏肌肉萎縮症
行百里者半于九十	行百里者半於九十
行千里路读万卷书	行千裡路讀萬卷書
行万里路读万卷书	行萬里路讀萬卷書
螳螂捕蝉黄雀在后	螳螂捕蟬黃雀在後
虾蟆跳在戥盘子里	蝦蟆跳在戥盤子裡
葫芦里卖的甚么药	葫蘆裡賣的甚麼藥
莫蹪于山而蹪于垤	莫蹪於山而蹪於垤
苦海无边回头是岸	苦海無邊回頭是岸
良药苦口忠言逆耳	良藥苦口忠言逆耳
致理商业专科学校	致理商業專科學校
自动资料处理系统	自動資料處理系統
肚里说不出来的苦	肚裡說不出來的苦
肐膊只折在袖子里	肐膊只折在袖子裡
肉毒梭状芽孢杆菌	肉毒梭狀芽孢桿菌
肃北蒙古族自治县	肅北蒙古族自治縣
聪明一世糊涂一时	聰明一世糊塗一時
联合包裹服务公司	聯合包裹服務公司
耳檐儿当不的胡帽	耳簷兒當不的胡帽
耕当问奴织当访婢	耕當問奴織當訪婢
老骥伏枥志在千里	老驥伏櫪志在千里
老虎生了翅膀一般	老虎生了翅膀一般
老米饭捏杀不成团	老米飯捏殺不成團
老王卖瓜自卖自夸	老王賣瓜自賣自誇
老猫鼻子上挂咸鱼	老貓鼻子上掛鹹魚
翻手为云覆手变雨	翻手為雲覆手變雨
美国国际开发总署	美國國際開發總署
羊群里跑出骆驼来	羊群裡跑出駱駝來
罢黜百家独尊儒术	罷黜百家獨尊儒術
综合服务数位网络	綜合服務數位網路
经营决策资讯系统	經營決策資訊系統
经济部标准检验局	經濟部標準檢驗局
经济合作开发组织	經濟合作開發組織
经济协力开发机构	經濟協力開發機構
纽芬兰与拉布拉多	紐芬蘭與拉布拉多
累积性伤害症候群	累積性傷害症候群
米罗的维纳斯雕像	米羅的維納斯雕像
箭在弦上不得不发	箭在弦上不得不發
笔胜于刀文比武强	筆勝於刀文比武強
穿鞋的不斗赤脚的	穿鞋的不鬥赤腳的
空军航空技术学院	空軍航空技術學院
穷当益坚老当益壮	窮當益堅老當益壯
种瓜得瓜种豆得豆	種瓜得瓜種豆得豆
种火又长拄门又短	種火又長拄門又短
种上蒺藜就要扎脚	種上蒺藜就要扎腳
秀才作医如菜作虀	秀才作醫如菜作虀
石油输出国家组织	石油輸出國家組織
知无不言言无不尽	知無不言言無不盡
瞒天讨价就地还钱	瞞天討價就地還錢
百足之虫至死不僵	百足之蟲至死不僵
百足之虫死而不僵	百足之蟲死而不僵
百尺竿头更尽一步	百尺竿頭更盡一步
百万买宅千万买邻	百萬買宅千萬買鄰
病从口入祸从口出	病從口入禍從口出
生命不息战斗不止	生命不息戰鬥不止
生于忧患死于安乐	生於憂患死於安樂
王婆卖瓜自卖自夸	王婆賣瓜自賣自誇
狗口里吐不出象牙	狗口裡吐不出象牙
特立尼达和多巴哥	千里達及托巴哥
父母两系血统主义	父母兩系血統主義
爱丽丝漫游奇境记	愛麗絲漫遊奇境記
燕雀焉知鸿鹄之志	燕雀焉知鴻鵠之志
燕雀安知鸿鹄之志	燕雀安知鴻鵠之志
烽烟四起战火纷飞	烽煙四起戰火紛飛
火里火去水里水去	火裡火去水裡水去
火箭喷射推进系统	火箭噴射推進系統
潘金莲给武松敬酒	潘金蓮給武松敬酒
漫天要价就地还钱	漫天要價就地還錢
注意力缺陷过动症	注意力缺陷過動症
波士顿艺术博物馆	波士頓藝術博物館
法因于敝而成于过	法因於敝而成於過
河里淹死是会水的	河裡淹死是會水的
沃枝叶不如培根本	沃枝葉不如培根本
比上不足比下有余	比上不足比下有餘
欲加之罪何患无辞	欲加之罪何患無辭
欲加之罪何患无词	慾加之罪何患無詞
欲人不知莫若勿为	欲人不知莫若勿為
棋逢对手将遇良才	棋逢對手將遇良才
梅里斯达斡尔族区	梅里斯達斡爾族區
梅里亚姆韦伯斯特	梅里亞姆韋伯斯特
格林尼治标准时间	格林尼治標準時間
格林威治标准时间	格林威治標準時間
树高千丈落叶归根	樹高千丈落葉歸根
木垒哈萨克自治县	木壘哈薩克自治縣
有福同享有难同当	有福同享有難同當
有福同享有祸同当	有福同享有禍同當
有了存孝不显彦章	有了存孝不顯彥章
有个地洞钻了下去	有個地洞鑽了下去
有一分心尽一分力	有一分心盡一分力
智者千虑必有一失	智者千慮必有一失
春生夏长秋收冬藏	春生夏長秋收冬藏
明鎗易躲暗箭难逃	明鎗易躲暗箭難逃
明枪易躲暗箭难防	明槍易躲暗箭難防
明枪易趓暗箭难防	明槍易趓暗箭難防
明枪好躲暗箭难防	明槍好躲暗箭難防
明志工业专科学校	明志工業專科學校
明修栈道暗渡陈仓	明修棧道暗渡陳倉
时代不同风尚不同	時代不同風尚不同
早起的鸟儿有虫吃	早起的鳥兒有蟲吃
早知今日悔不当初	早知今日悔不當初
早知今日何必当初	早知今日何必當初
日出而作日入而息	日出而作日入而息
日出万言必有一伤	日出萬言必有一傷
既有今日何必当初	既有今日何必當初
旁观者审当局者迷	旁觀者審當局者迷
数位快速篆刻系统	數位快速篆刻系統
放了屁儿却使手掩	放了屁兒卻使手掩
攻无不克战无不胜	攻無不克戰無不勝
捉贼见赃捉奸见双	捉賊見贓捉姦見雙
振兴医疗复健中心	振興醫療復健中心
拿贼要赃拿奸要双	拿賊要贓拿姦要雙
打蛇不死后患无穷	打蛇不死後患無窮
打狗也要看主人面	打狗也要看主人面
扁担压不出个屁来	扁擔壓不出個屁來
战无不胜攻无不取	戰無不勝攻無不取
战无不胜攻无不克	戰無不勝攻無不克
愚者千虑必有一得	愚者千慮必有一得
心头小鹿撞个不住	心頭小鹿撞個不住
德意志联邦共和国	德意志聯邦共和國
德意志民主共和国	德意志民主共和國
德国学术交流总署	德國學術交流總署
得胜的猫儿欢似虎	得勝的貓兒歡似虎
当断不断反受其乱	當斷不斷反受其亂
当局者迷旁观者清	當局者迷旁觀者清
当局者迷傍观者清	當局者迷傍觀者清
当局称迷傍观必审	當局稱迷傍觀必審
平地上起一个霹雳	平地上起一個霹靂
布鲁斯史普林斯汀	布魯斯史普林斯汀
孝重千斤日减一斤	孝重千斤日減一斤
好心倒做了驴肝肺	好心倒做了驢肝肺
好好学习天天向上	好好學習天天向上
头脑简单四肢发达	頭腦簡單四肢發達
失之毫厘谬以千里	失之毫厘謬以千里
失之毫厘差以千里	失之毫釐差以千里
失之毫厘差之千里	失之毫釐差之千里
太阳照在桑干河上	太陽照在桑乾河上
太公钓鱼愿者上钩	太公釣魚願者上鉤
天要落雨娘要嫁人	天要落雨孃要嫁人
天要下雨娘要嫁人	天要下雨孃要嫁人
大难不死必有后福	大難不死必有後福
大难不死必有后禄	大難不死必有後祿
大门不出二门不迈	大門不出二門不邁
大事化小小事化了	大事化小小事化了
士别三日刮目相待	士別三日刮目相待
塔什库尔干自治县	塔什庫爾干自治縣
圣皮埃尔和密克隆	聖皮埃爾和密克隆
国际羽毛球联合会	國際羽毛球聯合會
国际漫游拨接服务	國際漫遊撥接服務
国立教育广播电台	國立教育廣播電臺
国立台湾技术大学	國立臺灣技術大學
国立台北科技大学	國立臺北科技大學
国家空气品质标准	國家空氣品質標準
国家永续发展论坛	國家永續發展論壇
四体不勤五谷不分	四體不勤五穀不分
嘉南药理科技大学	嘉南藥理科技大學
善有善报恶有恶报	善有善報惡有惡報
唐胖子吊在醋缸里	唐胖子吊在醋缸裡
哈克贝利芬历险记	哈克貝利芬歷險記
君子报仇十年不晚	君子報仇十年不晚
君子交绝不出恶声	君子交絕不出惡聲
同步辐射研究中心	同步輻射研究中心
吃饭别忘了种谷人	吃飯別忘了種穀人
吃了蜜蜂儿屎似的	吃了蜜蜂兒屎似的
台湾警察专科学校	臺灣警察專科學校
台湾艺术专科学校	臺灣藝術專科學校
台湾省政府财政厅	臺灣省政府財政廳
台湾省政府警政厅	臺灣省政府警政廳
台湾省政府消防处	臺灣省政府消防處
台湾省政府教育厅	臺灣省政府教育廳
台湾汽车客运公司	臺灣汽車客運公司
台湾民主自治同盟	臺灣民主自治同盟
台湾工业技术学院	臺灣工業技術學院
只知有己不知有人	只知有己不知有人
只知其一不知其二	只知其一不知其二
只此一家别无分店	只此一家別無分店
只可意会不可言传	只可意會不可言傳
取之不尽用之不竭	取之不盡用之不竭
原发性进行性失语	原發性進行性失語
卖荳腐点了河滩地	賣荳腐點了河灘地
卖炭的掉在面缸里	賣炭的掉在麵缸裡
千差万差来人不差	千差萬差來人不差
千军易得一将难求	千軍易得一將難求
北京国家游泳中心	北京國家游泳中心
加勒比海共同市场	加勒比海共同市場
功能磁共振成像术	功能磁共振成像術
前门拒虎后门进狼	前門拒虎後門進狼
前门打虎后门打狼	前門打虎後門打狼
前车之覆后车之鉴	前車之覆後車之鑑
前无古人后无来者	前無古人後無來者
前人栽树后人乘凉	前人栽樹後人乘涼
前人失脚后人把滑	前人失腳後人把滑
前事不忘后事之师	前事不忘後事之師
前不巴村后不巴店	前不巴村後不巴店
别人的孩子死不完	別人的孩子死不完
分久必合合久必分	分久必合合久必分
出其不意攻其不备	出其不意攻其不備
凡事总有一个开头	凡事總有一個開頭
几內亚比索共和国	幾內亞比索共和國
冰生于水而寒于水	冰生於水而寒於水
冠状动脉旁通手术	冠狀動脈旁通手術
军品出口领导小组	軍品出口領導小組
兼听则明偏信则暗	兼聽則明偏信則暗
养小防老积谷防饥	養小防老積穀防饑
养子防老积谷防饥	養子防老積穀防飢
养军千日用在一朝	養軍千日用在一朝
养军千日用在一时	養軍千日用在一時
养军千日用军一时	養軍千日用軍一時
养兵千日用在一朝	養兵千日用在一朝
养兵千日用在一时	養兵千日用在一時
养兵千日用兵一时	養兵千日用兵一時
养儿防老积谷防饥	養兒防老積穀防飢
养儿待老积谷防饥	養兒待老積穀防饑
全球卫星导航系统	全球衛星導航系統
全球位置测定系统	全球位置測定系統
全国人民代表大会	全國人民代表大會
入口匝道号志管制	入口匝道號誌管制
克莱斯勒汽车公司	克萊斯勒汽車公司
克孜尔尕哈烽火台	克孜爾尕哈烽火臺
光纤分布数据接口	光纖分佈資料介面
先天不足后天失调	先天不足後天失調
元培医事技术学校	元培醫事技術學校
人同此心心同此理	人同此心心同此理
五度制调值标记法	五度制調值標記法
乌狗吃食白狗当灾	烏狗吃食白狗當災
丰若有肌柔若无骨	丰若有肌柔若無骨
中华苏维埃共和国	中華蘇維埃共和國
不干不淨吃了没病	不乾不淨吃了沒病
不孝有三无后为大	不孝有三無後為大
不图打点只图混水	不圖打點只圖混水
万事俱备只欠东风	萬事俱備只欠東風
一言既出驷马难追	一言既出駟馬難追
一言已定千金不移	一言已定千金不移
麻婆子的裹脚布	麻婆子的裹腳布
麦克罗尼西亚人	麥克羅尼西亞人
鲁般手里调大斧	魯般手裡調大斧
马克思列宁主义	馬克思列寧主義
香港贸易发展局	香港貿易發展局
香港工会联合会	香港工會聯合會
香格里拉怡咖啡	香格里拉怡咖啡
饱汉不知饿汉饥	飽漢不知餓漢飢
饱人不知饿人饥	飽人不知餓人飢
食品药品监督局	食品藥品監督局
飞航资料记录器	飛航資料記錄器
风吹砂子迷了眼	風吹砂子迷了眼
须将有日思无日	須將有日思無日
顶梁骨走了真魂	頂梁骨走了真魂
韩国联合通讯社	韓國聯合通訊社
革命发展阶段论	革命發展階段論
面向对象的技术	面嚮物件的技術
非游离辐射伤害	非游離輻射傷害
青康滇纵谷高原	青康滇縱谷高原
露营休闲车旅游	露營休閒車旅遊
露出了狐狸尾巴	露出了狐狸尾巴
需要是发明之母	需要是發明之母
雷射血管成形术	雷射血管成形術
雅鲁藏布大峡谷	雅魯藏布大峽谷
隧道尽头的光亮	隧道盡頭的光亮
陷之死地而后生	陷之死地而後生
阿拉伯共同市场	阿拉伯共同市場
阿尔茨海默氏症	阿爾茨海默氏症
阿加莎克里斯蒂	阿加莎克里斯蒂
阿兹海默症病患	阿茲海默症病患
防锁死煞车系统	防鎖死煞車系統
镰形血球贫血症	鐮形血球貧血症
银行利害关系人	銀行利害關係人
醋娘子要食杨梅	醋娘子要食楊梅
酒逢知己千钟少	酒逢知己千鍾少
鄂温克族自治旗	鄂溫克族自治旗
那个耗子不偷油	那個耗子不偷油
那个猫儿不吃腥	那個貓兒不吃腥
道不同不相为谋	道不同不相為謀
逢人只说三分话	逢人只說三分話
通用资源识别号	通用資源識別號
连鬼也不见一个	連鬼也不見一個
远水救不了近火	遠水救不了近火
近视眼生了瞎子	近視眼生了瞎子
运输设备修护费	運輸裝置修護費
过了青春无少年	過了青春無少年
过了这村没这店	過了這村沒這店
跳梁猖獗之小丑	跳樑猖獗之小醜
跳出釜底进火坑	跳出釜底進火坑
跨通道启动技术	跨通道啟動技術
赔了夫人又折兵	賠了夫人又折兵
资料库管理系统	資料庫管理系統
贪婪是万恶之源	貪婪是萬惡之源
败子回头金不换	敗子回頭金不換
说嘴郎中无好药	說嘴郎中無好藥
